Main crop	Main Crop_GROUP	"MainCrop6cat (Legumes, Others, Cereals, Vegetables, Grasslands, Rice)"
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
dairy-grazed pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
dairy-grazed pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
dairy-grazed pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
grass/alfalfa	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grass/alfalfa	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grass/alfalfa	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grass/alfalfa	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
elephant grass	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
fallow	bare/fallow	
Jerusalem artichoke	vegetables	Vegetables
fallow	bare/fallow	
Jerusalem artichoke	vegetables	Vegetables
Jerusalem artichoke	vegetables	Vegetables
fallow	bare/fallow	
Jerusalem artichoke	vegetables	Vegetables
fallow	bare/fallow	
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
vegetables (6 crops in 1 yr)	vegetables	Vegetables
wheat	cereals	Cereals
rice	rice	Rice
vegetables (6 crops in 1 yr)	vegetables	Vegetables
wheat	cereals	Cereals
rice	rice	Rice
Amaranth	cereals	Cereals
Turnip	vegetables	Vegetables
Garlic	vegetables	Vegetables
Amaranth	cereals	Cereals
Garlic	vegetables	Vegetables
Turnip	vegetables	Vegetables
#N/A	vegetables	Vegetables
#N/A	vegetables	Vegetables
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
